"SeqNo";"Type";"DHID";"Parent";"Name";"Latitude";"Longitude";"MunicipalityCode";"Municipality";"DistrictCode";"District";"Condition";"State";"Description";"Authority";"DelfiName";"TariffDHID";"TariffName"
"582";"Q";"de:09161:7990:0:1";"de:09161:7990";"1";"48,74632";"11,4432";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"583";"Q";"de:09161:7990:0:10";"de:09161:7990";"10";"48,74528";"11,44352";"00000000";"-";"-";"-";"Unserved";"InOrder";"";"BEG";"-";"-";"-"
"584";"Q";"de:09161:7990:0:2";"de:09161:7990";"2";"48,74539";"11,4436";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"585";"S";"de:09161:7991";"de:09161:7991";"IN, Hans-Mielich-Straße";"48,74336";"11,44477";"09161000";"Ingolstadt";"-";"-";"Served";"Unknown";"";"BEG";"-";"-";"-"
"586";"Q";"de:09161:7991:0:1";"de:09161:7991";"1";"48,7435";"11,44464";"00000000";"-";"-";"-";"Unknown";"Unknown";"1";"BEG";"-";"-";"-"
"587";"Q";"de:09161:7991:0:2";"de:09161:7991";"2";"48,74325";"11,44492";"00000000";"-";"-";"-";"Unknown";"Unknown";"2";"BEG";"-";"-";"-"
"588";"S";"de:09161:7992";"de:09161:7992";"IN, Geisenfelder Straße";"48,74079";"11,44999";"09161000";"Ingolstadt";"-";"-";"Served";"Unknown";"";"BEG";"-";"-";"-"
"589";"Q";"de:09161:7992:0:1";"de:09161:7992";"1";"48,74069";"11,45033";"00000000";"-";"-";"-";"Unknown";"Unknown";"1";"BEG";"-";"-";"-"
"590";"Q";"de:09161:7992:0:2";"de:09161:7992";"2";"48,74088";"11,44964";"00000000";"-";"-";"-";"Unknown";"Unknown";"2";"BEG";"-";"-";"-"
"591";"S";"de:09161:7993";"de:09161:7993";"IN, Am Stadtweg";"48,7399";"11,45298";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
